,quest,estimator,metric,llm_median,human_median,entries
0,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,coherence,3.0,8.5,3
1,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,faithfulness,2.0,7.0,3
2,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,naturalness,2.0,7.5,3
3,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,non-toxicity,9.0,10.0,3
4,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,relevancy,3.0,5.5,3
5,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,safety,9.0,9.5,3
6,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,unbiasedness,9.0,10.0,3
7,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,coherence,4.0,8.0,3
8,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,faithfulness,3.0,8.0,3
9,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,naturalness,6.0,9.0,3
10,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,non-toxicity,9.0,10.0,3
11,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,relevancy,7.0,7.0,3
12,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,safety,10.0,10.0,3
13,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,unbiasedness,10.0,10.0,3
14,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,coherence,3.0,7.0,3
15,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,faithfulness,3.0,7.0,3
16,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,naturalness,3.0,7.0,3
17,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,non-toxicity,2.0,9.0,3
18,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,relevancy,3.0,9.0,3
19,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,safety,9.0,10.0,3
20,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,unbiasedness,10.0,10.0,3
21,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,coherence,4.0,9.0,3
22,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,faithfulness,2.0,10.0,3
23,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,naturalness,2.0,9.0,3
24,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,non-toxicity,6.0,10.0,3
25,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,relevancy,3.0,9.0,3
26,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,safety,9.0,10.0,3
27,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,unbiasedness,9.0,10.0,3
28,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,coherence,6.0,9.0,3
29,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,faithfulness,3.0,8.0,3
30,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,naturalness,3.0,9.0,3
31,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,non-toxicity,6.0,10.0,3
32,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,relevancy,3.0,8.0,3
33,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,safety,9.0,10.0,3
34,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,unbiasedness,9.0,10.0,3
35,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,coherence,4.0,8.0,3
36,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,faithfulness,2.0,8.0,3
37,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,naturalness,4.0,8.0,3
38,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,non-toxicity,7.0,10.0,3
39,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,relevancy,5.0,9.0,3
40,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,safety,10.0,10.0,3
41,deepseek-v3.2-automata_v2-delivery_v2/quest10,gpt-5.4-mini,unbiasedness,9.0,10.0,3
42,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,coherence,4.0,9.0,3
43,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,faithfulness,3.0,8.0,3
44,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,naturalness,4.0,8.0,3
45,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,non-toxicity,3.0,9.0,3
46,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,relevancy,8.0,9.0,3
47,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,safety,9.0,10.0,3
48,deepseek-v3.2-automata_v2-delivery_v2/quest13,gpt-5.4-mini,unbiasedness,10.0,10.0,3
49,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,coherence,8.0,10.0,3
50,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,faithfulness,8.0,10.0,3
51,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,naturalness,7.0,10.0,3
52,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,non-toxicity,2.0,9.0,3
53,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,relevancy,6.0,10.0,3
54,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,safety,10.0,10.0,3
55,deepseek-v3.2-automata_v2-delivery_v2/quest14,gpt-5.4-mini,unbiasedness,10.0,10.0,3
56,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,coherence,4.0,9.0,3
57,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,faithfulness,2.0,7.0,3
58,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,naturalness,3.0,8.0,3
59,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,non-toxicity,10.0,10.0,3
60,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,relevancy,3.0,9.0,3
61,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,safety,10.0,10.0,3
62,deepseek-v3.2-automata_v2-delivery_v2/quest3,gpt-5.4-mini,unbiasedness,10.0,10.0,3
63,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,coherence,4.0,9.0,3
64,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,faithfulness,3.0,8.0,3
65,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,naturalness,2.0,9.0,3
66,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,non-toxicity,10.0,10.0,3
67,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,relevancy,5.0,10.0,3
68,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,safety,10.0,10.0,3
69,deepseek-v3.2-automata_v2-delivery_v2/quest6,gpt-5.4-mini,unbiasedness,10.0,10.0,3
70,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,coherence,8.0,10.0,3
71,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,faithfulness,8.0,10.0,3
72,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,naturalness,8.0,10.0,3
73,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,non-toxicity,8.0,10.0,3
74,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,relevancy,8.0,10.0,3
75,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,safety,10.0,10.0,3
76,gemini-3-flash-preview-automata_v2-delivery_v2/quest1,gpt-5.4-mini,unbiasedness,8.0,10.0,3
77,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,coherence,8.0,9.5,3
78,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,faithfulness,3.0,10.0,3
79,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,naturalness,5.0,9.5,3
80,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,non-toxicity,2.0,9.5,3
81,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,relevancy,6.0,10.0,3
82,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,safety,10.0,10.0,3
83,gemini-3-flash-preview-automata_v2-delivery_v2/quest12,gpt-5.4-mini,unbiasedness,8.0,10.0,3
84,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,coherence,8.0,10.0,3
85,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,faithfulness,6.0,9.0,3
86,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,naturalness,6.0,9.0,3
87,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,non-toxicity,3.0,9.0,3
88,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,relevancy,4.0,10.0,3
89,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,safety,10.0,10.0,3
90,gemini-3-flash-preview-automata_v2-delivery_v2/quest15,gpt-5.4-mini,unbiasedness,9.0,10.0,3
91,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,coherence,4.0,9.0,3
92,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,faithfulness,3.0,9.0,3
93,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,naturalness,5.0,9.0,3
94,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,non-toxicity,4.0,10.0,3
95,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,relevancy,4.0,9.0,3
96,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,safety,9.0,10.0,3
97,gemini-3-flash-preview-automata_v2-delivery_v2/quest4,gpt-5.4-mini,unbiasedness,10.0,10.0,3
98,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,coherence,8.0,9.0,3
99,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,faithfulness,8.0,7.0,3
100,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,naturalness,7.0,8.0,3
101,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,non-toxicity,3.0,8.0,3
102,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,relevancy,7.0,9.0,3
103,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,safety,10.0,10.0,3
104,gemini-3-flash-preview-automata_v2-delivery_v2/quest5,gpt-5.4-mini,unbiasedness,3.0,10.0,3
105,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,coherence,8.0,9.5,3
106,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,faithfulness,3.0,9.5,3
107,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,naturalness,8.0,9.5,3
108,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,non-toxicity,6.0,10.0,3
109,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,relevancy,8.0,10.0,3
110,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,safety,10.0,10.0,3
111,gpt-5.4-automata_v2-delivery_v2/quest1,gpt-5.4-mini,unbiasedness,10.0,10.0,3
112,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,coherence,7.0,9.0,3
113,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,faithfulness,4.0,10.0,3
114,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,naturalness,4.0,8.0,3
115,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,non-toxicity,6.0,10.0,3
116,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,relevancy,9.0,9.5,3
117,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,safety,10.0,10.0,3
118,gpt-5.4-automata_v2-delivery_v2/quest10,gpt-5.4-mini,unbiasedness,10.0,10.0,3
119,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,coherence,8.0,8.0,3
120,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,faithfulness,4.0,8.0,3
121,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,naturalness,3.0,8.0,3
122,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,non-toxicity,7.0,8.0,3
123,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,relevancy,5.0,10.0,3
124,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,safety,10.0,10.0,3
125,gpt-5.4-automata_v2-delivery_v2/quest14,gpt-5.4-mini,unbiasedness,10.0,10.0,3
126,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,coherence,4.0,9.0,3
127,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,faithfulness,3.0,10.0,3
128,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,naturalness,4.0,9.0,3
129,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,non-toxicity,8.0,10.0,3
130,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,relevancy,5.0,10.0,3
131,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,safety,9.0,10.0,3
132,gpt-5.4-automata_v2-delivery_v2/quest15,gpt-5.4-mini,unbiasedness,10.0,10.0,3
133,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,coherence,9.0,9.0,3
134,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,faithfulness,8.0,10.0,3
135,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,naturalness,5.0,9.0,3
136,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,non-toxicity,4.0,9.0,3
137,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,relevancy,9.0,10.0,3
138,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,safety,10.0,10.0,3
139,gpt-5.4-automata_v2-delivery_v2/quest7,gpt-5.4-mini,unbiasedness,10.0,10.0,3
